Loyalty Number,months_with_flights,total_flights,total_distance,total_pts_acc,total_pts_red
346225,13,28,38375,38375.0,343
346274,13,33,48912,48912.0,2286
346295,8,26,25891,25891.0,1515
346346,6,17,25790,25790.0,577
346384,16,37,68543,68543.0,448
346390,7,9,16810,16810.0,0
346456,17,40,57742,57742.0,335
346499,4,14,23701,23701.0,0
346529,15,42,69649,69649.0,338
346532,0,0,0,0.0,0
346554,0,0,0,0.0,0
346560,5,19,22904,22904.0,694
346598,7,25,41125,41125.0,0
346633,12,36,55224,55224.0,500
346678,19,58,73942,73942.0,0
346704,17,50,67682,67682.0,471
346766,3,11,14514,14514.0,447
346809,12,33,55968,55968.0,0
346828,14,46,67035,67035.0,0
346925,17,32,49212,49212.0,505
347001,11,27,38229,38229.0,0
347013,9,81,127964,191946.0,757
347142,12,27,44337,44337.0,1193
347212,1,4,3000,3000.0,0
347227,7,85,127402,191103.0,482
347231,15,40,52088,52088.0,1312
347276,2,4,4764,4764.0,0
347423,8,18,29027,29027.0,1946
347431,14,42,75396,75396.0,871
347466,13,32,37726,37726.0,1043
347515,7,17,23455,23455.0,1297
347629,15,39,53334,53334.0,0
347634,12,31,42440,42440.0,1397
347733,0,0,0,0.0,0
347850,13,33,45647,45647.0,1278
347861,17,47,62800,62800.0,409
347914,4,11,13231,13231.0,0
347932,16,41,69326,69326.0,1441
347955,13,36,61562,61562.0,0
347982,5,49,75906,113859.0,0
347987,4,11,21900,21900.0,0
347997,1,5,6890,6890.0,0
348047,14,43,59054,59054.0,1013
348056,13,34,54855,54855.0,1384
348065,13,39,67751,67751.0,1240
348085,12,37,49523,49523.0,0
348143,3,60,71748,107622.0,0
348173,0,0,0,0.0,0
348202,14,38,59521,59521.0,439
348215,14,41,61755,61755.0,0
348238,3,9,15276,15276.0,492
348245,3,12,23610,23610.0,0
348299,0,0,0,0.0,0
348350,0,0,0,0.0,0
348400,14,43,73099,73099.0,830
348448,17,49,74758,74758.0,1467
348463,16,37,60769,60769.0,557
348471,15,38,46815,46815.0,1697
348475,16,42,48189,48189.0,2005
348600,7,23,41047,41047.0,565
348672,15,46,66761,66761.0,890
348681,15,44,66030,66030.0,439
348718,0,0,0,0.0,0
348723,11,32,49399,49399.0,360
348732,9,15,20392,20392.0,1091
348740,17,44,65155,65155.0,433
348751,13,41,68456,68456.0,1517
348774,18,41,59516,59516.0,2566
348835,18,45,56290,56290.0,530
348920,15,31,45865,45865.0,749
348994,18,42,53988,53988.0,1166
349001,18,52,73405,73405.0,1638
349046,16,34,49017,49017.0,0
349108,5,13,17605,17605.0,0
349115,10,26,50244,50244.0,1360
349132,13,38,62273,62273.0,1103
349153,13,39,58954,58954.0,1387
349220,15,38,65814,65814.0,351
349278,10,31,54556,54556.0,356
349342,14,40,64029,64029.0,972
349447,0,0,0,0.0,0
349470,5,47,72295,108442.5,0
349490,12,31,55891,55891.0,1362
349539,9,22,38409,38409.0,1087
349577,14,40,60166,60166.0,2437
349638,12,34,31780,31780.0,338
349670,14,39,54024,54024.0,516
349695,0,0,0,0.0,0
349730,18,55,74971,74971.0,1740
349767,10,27,48237,48237.0,0
349838,13,33,61509,61509.0,0
350001,14,44,70358,70358.0,544
350059,5,14,23269,23269.0,0
350238,12,35,69997,69997.0,890
350269,0,0,0,0.0,0
350271,9,26,40580,40580.0,560
350486,0,0,0,0.0,0
350587,16,46,75541,75541.0,0
350631,16,40,63286,63286.0,1636
350675,15,35,54316,54316.0,0
350692,12,40,77124,77124.0,648
350863,18,45,56481,56481.0,1834
350901,10,24,41843,41843.0,0
350910,0,0,0,0.0,0
350979,17,39,51529,51529.0,522
351029,12,31,44671,44671.0,1532
351138,13,33,50891,50891.0,0
351145,15,40,54867,54867.0,1089
351238,15,36,61971,61971.0,1089
351292,4,8,11839,11839.0,0
351296,11,38,57547,57547.0,1194
351367,12,36,43579,43579.0,0
351389,16,40,64362,64362.0,379
351461,4,46,68650,102975.0,1133
351500,13,32,52313,52313.0,1163
351513,0,0,0,0.0,0
351551,6,50,78701,118051.5,553
351615,31,85,132676,132676.0,903
351753,5,15,24329,24329.0,669
351889,13,35,59820,59820.0,0
351897,16,40,60387,60387.0,3020
351937,15,34,44609,44609.0,1652
351966,4,8,9950,9950.0,1014
352005,13,43,67114,67114.0,1119
352026,4,15,21273,21273.0,452
352034,0,0,0,0.0,0
352053,18,49,78868,78868.0,1642
352068,18,51,96713,96713.0,581
352078,16,34,53778,53778.0,381
352092,14,42,70559,70559.0,1304
352101,17,39,57606,57606.0,1966
352170,16,40,60687,60687.0,370
352216,2,3,3381,3381.0,0
352242,14,35,49213,49213.0,1776
352280,10,26,44343,44343.0,493
352306,11,27,41700,41700.0,496
352337,13,29,32961,32961.0,1101
352377,16,41,71838,71838.0,0
352424,17,52,84517,84517.0,1511
352490,18,54,88192,88192.0,1527
352501,18,49,69902,69902.0,1533
352581,4,11,11659,11659.0,851
352582,9,73,93581,140371.5,1028
352617,12,26,42733,42733.0,0
352653,16,38,54088,54088.0,989
352702,14,45,64107,64107.0,1178
352734,0,0,0,0.0,0
352747,6,15,20909,20909.0,0
352809,4,15,19769,29653.5,0
352834,11,34,50688,50688.0,308
352916,12,21,30777,30777.0,0
353032,16,48,75553,75553.0,0
353076,5,14,19840,19840.0,0
353096,10,32,38012,38012.0,0
353128,15,38,53507,53507.0,1672
353308,0,0,0,0.0,0
353369,2,8,14440,14440.0,0
353396,15,38,52964,52964.0,622
353455,12,37,52104,52104.0,1448
353486,13,39,64508,64508.0,2215
353535,0,0,0,0.0,0
353614,0,0,0,0.0,0
353648,5,15,25424,25424.0,520
353786,5,20,22739,22739.0,496
354002,12,35,60585,60585.0,933
354084,13,41,59571,59571.0,0
354150,9,22,30833,30833.0,0
354176,2,5,7658,7658.0,0
354206,1,1,1035,1035.0,395
354295,12,33,56385,56385.0,602
354438,4,12,20632,20632.0,328
354442,11,28,47270,47270.0,1610
354461,20,53,82761,82761.0,0
354464,14,33,37195,37195.0,0
354477,15,43,61259,61259.0,858
354483,12,34,56710,56710.0,1372
354547,16,45,67023,67023.0,1714
354730,8,20,36872,36872.0,0
355039,8,23,34409,34409.0,0
355099,1,5,4695,4695.0,573
355102,5,10,13139,13139.0,0
355126,13,41,76070,76070.0,393
355184,11,32,52421,52421.0,559
355298,13,41,64824,64824.0,827
355331,17,51,75018,75018.0,2592
355491,7,64,75010,112515.0,548
355512,3,6,8364,8364.0,397
355515,18,50,72677,72677.0,972
355578,6,19,31330,31330.0,873
355628,0,0,0,0.0,0
355669,12,28,40521,40521.0,1597
355707,6,14,22690,22690.0,443
355724,2,6,3950,3950.0,458
355750,16,45,62675,62675.0,614
355775,11,29,49116,49116.0,2341
355781,0,0,0,0.0,0
355795,15,43,76775,76775.0,1192
355839,1,1,1936,1936.0,0
355906,12,30,50480,50480.0,2093
355908,10,23,29762,29762.0,0
355994,13,37,46622,46622.0,1571
355995,10,30,54467,54467.0,1086
356237,6,31,51515,77272.5,0
356240,6,17,20336,20336.0,0
356460,8,48,71418,107127.0,522
356507,14,37,59785,59785.0,358
356558,15,32,43085,43085.0,1171
356561,14,37,49041,49041.0,2029
356578,5,18,31001,46501.5,1101
356613,16,48,82622,82622.0,1087
356618,17,44,60579,60579.0,1581
356708,10,29,39068,39068.0,0
356712,12,32,54474,54474.0,567
356812,19,60,100816,100816.0,831
356828,18,50,68267,68267.0,1729
356955,16,35,50749,50749.0,1010
356980,12,29,46123,46123.0,0
357059,8,77,137162,205743.0,1349
357138,18,56,87821,87821.0,1997
357149,11,27,40655,40655.0,882
357161,14,38,38826,38826.0,1159
357166,0,0,0,0.0,0
357173,14,42,62259,62259.0,429
357199,11,31,45349,45349.0,1846
357298,15,44,60392,60392.0,386
357375,14,40,67603,67603.0,1346
357381,18,39,45496,45496.0,914
357466,19,47,79767,79767.0,933
357549,0,0,0,0.0,0
357567,13,29,46785,46785.0,1483
357574,17,45,72464,72464.0,0
357589,16,41,67894,67894.0,480
357901,7,78,108663,162994.5,557
357903,1,5,9190,9190.0,0
357971,15,33,54127,54127.0,2222
357988,8,61,87564,131346.0,0
358012,6,45,61736,92604.0,0
358020,13,33,45021,45021.0,772
358039,3,12,17446,17446.0,588
358054,4,9,13024,13024.0,0
358151,9,19,28390,28390.0,1094
358201,14,38,45722,45722.0,2240
358255,0,0,0,0.0,0
358375,0,0,0,0.0,0
358384,14,42,63855,63855.0,1101
358513,15,41,63277,63277.0,809
358586,0,0,0,0.0,0
358792,14,47,64154,64154.0,662
358794,11,31,50454,50454.0,556
358900,13,33,51704,51704.0,0
358948,0,0,0,0.0,0
358968,7,16,24240,24240.0,961
358979,9,26,50916,50916.0,1006
358997,3,6,7927,7927.0,0
359011,13,34,47425,47425.0,775
359029,8,15,23213,23213.0,0
359091,18,51,61039,61039.0,1086
359133,6,42,78256,117384.0,408
359138,0,0,0,0.0,0
359188,4,8,14649,14649.0,0
359275,17,41,58362,58362.0,0
359360,15,37,62729,62729.0,1263
359446,14,36,56788,56788.0,393
359466,16,43,73014,73014.0,1552
359575,13,46,63043,63043.0,1015
359693,13,44,58949,58949.0,849
359816,15,42,59175,59175.0,886
360017,16,47,71859,71859.0,0
360031,2,4,8678,8678.0,0
360240,6,18,26520,26520.0,0
360256,13,33,49029,49029.0,646
360435,12,26,38043,38043.0,492
360446,15,41,59480,59480.0,2166
360472,16,48,69133,69133.0,1133
360485,0,0,0,0.0,0
360537,14,35,42121,42121.0,792
360730,17,47,68765,68765.0,547
360732,1,1,917,917.0,376
360744,0,0,0,0.0,0
360805,13,30,51365,51365.0,481
360868,5,17,28443,28443.0,0
360902,15,51,88364,88364.0,1405
360942,17,48,59654,59654.0,605
360981,5,15,20539,20539.0,613
361109,14,40,61997,61997.0,1814
361237,25,65,102708,102708.0,2062
361266,15,42,64610,64610.0,1570
361434,16,44,51424,51424.0,547
361439,13,31,43801,43801.0,0
361680,0,0,0,0.0,0
361707,16,48,66090,66090.0,322
361710,0,0,0,0.0,0
361816,15,46,73552,73552.0,505
361827,13,31,43816,43816.0,622
361892,17,53,79599,79599.0,516
361944,7,16,22844,22844.0,1320
362055,16,52,78715,78715.0,1372
362134,3,6,7257,7257.0,0
362165,14,37,61887,61887.0,1160
362167,19,62,107580,107580.0,892
362201,11,24,38251,38251.0,0
362293,12,32,39686,39686.0,784
362471,12,39,68189,68189.0,0
362541,14,47,79976,79976.0,0
362586,15,45,52286,52286.0,1067
362642,11,28,28698,28698.0,456
362680,17,47,72634,72634.0,388
362736,15,40,66115,66115.0,1322
362742,6,10,11027,11027.0,0
362823,0,0,0,0.0,0
362841,12,36,56981,56981.0,1220
362855,13,40,58819,58819.0,571
362925,8,47,68863,103294.5,585
363178,3,8,11538,11538.0,347
363199,10,27,46562,46562.0,515
363314,13,33,48481,48481.0,813
363483,0,0,0,0.0,0
363513,0,0,0,0.0,0
363743,15,34,55585,55585.0,1596
363774,15,42,59377,59377.0,1061
363780,3,13,20034,20034.0,668
363864,12,31,43513,43513.0,0
363866,4,8,11097,11097.0,0
363925,9,24,30716,30716.0,567
363967,6,61,98316,147474.0,1512
363983,1,2,1976,1976.0,0
364049,15,35,50206,50206.0,1020
364067,17,49,73513,73513.0,584
364137,17,41,49791,49791.0,432
364153,15,41,55101,55101.0,944
364247,0,0,0,0.0,0
364264,12,38,45709,45709.0,418
364356,6,55,52878,79317.0,0
364372,0,0,0,0.0,0
364596,2,27,55902,83853.0,0
364710,6,65,69214,103821.0,1672
364895,16,46,67734,67734.0,0
364908,16,47,57710,57710.0,406
364931,9,21,28142,28142.0,1028
365138,6,50,58052,87078.0,457
365156,2,5,6436,6436.0,0
365166,2,18,26906,40359.0,562
365208,1,2,4882,4882.0,0
365346,15,41,67765,67765.0,862
365404,13,35,47097,47097.0,511
365413,10,24,38858,38858.0,0
365421,10,19,32436,32436.0,477
365451,12,31,48421,48421.0,2231
365468,13,42,62383,62383.0,1389
365515,16,41,54626,54626.0,380
365557,11,35,54912,54912.0,561
365596,7,50,76691,115036.5,512
365619,15,34,56878,56878.0,531
365635,13,34,52779,52779.0,728
365642,9,24,39756,39756.0,1199
365761,14,43,70566,70566.0,1662
365816,16,40,69545,69545.0,1083
365863,14,48,69594,69594.0,935
365887,4,9,14888,14888.0,0
366049,4,31,41185,61777.5,0
366116,15,41,57129,57129.0,1636
366133,14,36,48545,48545.0,2013
366161,7,89,136182,204273.0,479
366250,5,15,22118,22118.0,608
366263,9,29,39550,39550.0,849
366467,17,42,76417,76417.0,1657
366487,12,25,37529,37529.0,486
366500,13,32,59560,59560.0,973
366537,16,37,57684,57684.0,3035
366540,7,69,127815,191722.5,1258
366576,0,0,0,0.0,0
366599,8,48,62099,93148.5,0
366654,20,56,97747,97747.0,1830
366687,14,33,61676,61676.0,1733
366719,10,22,26752,26752.0,919
366727,3,8,17128,17128.0,0
366744,16,43,58477,58477.0,1301
366894,15,39,50211,50211.0,2423
366911,16,58,82795,82795.0,1446
366932,8,16,20432,20432.0,0
366977,6,42,43620,65430.0,0
367006,0,0,0,0.0,0
367338,17,38,63855,63855.0,0
367492,11,28,53282,53282.0,473
367511,16,45,61248,61248.0,0
367547,13,32,43900,43900.0,1319
367562,17,46,74939,74939.0,1409
367617,1,2,4198,4198.0,0
367680,16,39,42356,42356.0,831
367685,3,10,10836,10836.0,0
367697,12,30,52395,52395.0,457
367751,9,23,37992,37992.0,0
367774,16,44,65760,65760.0,634
367782,5,50,85350,128025.0,0
367811,4,18,19922,19922.0,0
367961,15,44,66680,66680.0,1914
368027,13,29,43133,43133.0,1052
368045,14,35,45107,45107.0,340
368062,4,9,10302,10302.0,0
368073,25,72,116048,116048.0,3030
368118,8,14,21508,21508.0,466
368122,12,27,45691,45691.0,1122
368292,1,2,1182,1182.0,0
368330,17,53,78425,78425.0,0
368391,8,62,105775,158662.5,0
368435,4,23,44549,66823.5,0
368523,10,36,61645,61645.0,0
368549,15,36,44350,44350.0,1474
368566,18,64,106668,106668.0,0
368591,13,33,52856,52856.0,531
368669,1,1,1396,1396.0,0
368675,3,7,7962,7962.0,480
368713,0,0,0,0.0,0
368772,4,53,64197,96295.5,0
368830,0,0,0,0.0,0
368878,0,0,0,0.0,0
368981,15,39,58839,58839.0,1492
369000,18,49,68004,68004.0,0
369035,14,44,64362,64362.0,912
369084,6,38,53844,80766.0,374
369091,14,30,43477,43477.0,1151
369121,17,47,59913,59913.0,1133
369141,13,41,63301,63301.0,0
369188,0,0,0,0.0,0
369229,16,41,57031,57031.0,802
369242,11,33,54192,54192.0,0
369361,11,32,44911,44911.0,1089
369388,0,0,0,0.0,0
369392,14,34,53379,53379.0,1059
369416,6,12,19215,19215.0,393
369458,15,36,50661,50661.0,728
369569,19,61,99114,99114.0,960
369603,12,27,49306,49306.0,721
369638,0,0,0,0.0,0
369646,14,32,43201,43201.0,369
369658,16,43,83637,83637.0,1159
369682,10,25,37307,37307.0,1608
369715,6,17,25688,25688.0,361
369739,19,52,70499,70499.0,928
369795,8,21,33544,33544.0,0
369841,14,35,61437,61437.0,891
369853,8,29,42499,42499.0,1711
369867,2,5,11040,11040.0,561
369943,15,36,62066,62066.0,384
370014,13,34,67671,67671.0,2053
370066,16,41,65949,65949.0,414
370090,14,39,63692,63692.0,625
370093,12,25,34129,34129.0,431
370300,19,49,61593,61593.0,981
370405,2,6,13584,13584.0,547
370443,13,40,74737,74737.0,1376
370450,16,44,56131,56131.0,1382
370486,12,27,49412,49412.0,1001
370517,18,41,62600,62600.0,466
370539,11,22,44468,44468.0,2298
370660,5,48,72998,109497.0,464
370744,13,25,38225,38225.0,498
370842,16,43,53173,53173.0,1665
370877,18,53,79662,79662.0,349
370959,1,4,6112,6112.0,0
370979,0,0,0,0.0,0
370990,13,47,63982,63982.0,619
371065,12,42,61288,61288.0,0
371079,16,43,63111,63111.0,1586
371148,1,2,4570,4570.0,0
371152,17,42,65236,65236.0,2290
371159,16,41,71456,71456.0,409
371164,15,33,57340,57340.0,0
371191,13,40,45003,45003.0,409
371368,7,13,13013,13013.0,725
371402,6,29,50953,76429.5,396
371422,12,30,41135,41135.0,434
371511,8,46,85480,128220.0,313
371532,12,30,47518,47518.0,0
371580,15,47,74845,74845.0,2023
371606,11,25,40053,40053.0,2118
371672,15,42,81968,81968.0,861
371675,9,26,38033,38033.0,2712
371737,6,45,95133,142699.5,0
371739,14,38,46424,46424.0,524
371875,14,37,54835,54835.0,0
371969,14,42,63617,63617.0,345
372069,8,16,16948,16948.0,1082
372111,14,37,57150,57150.0,917
372169,0,0,0,0.0,0
372175,2,4,7848,7848.0,0
372183,12,33,54262,54262.0,2883
372237,15,49,79620,79620.0,1173
372261,14,43,64169,64169.0,853
372290,14,36,63420,63420.0,481
372353,13,39,58975,58975.0,720
372522,11,28,27488,27488.0,1497
372622,10,28,28501,28501.0,1103
372647,17,52,70185,70185.0,1389
372652,11,28,46001,46001.0,0
372663,1,3,1671,1671.0,0
372737,2,6,7770,11655.0,0
372755,13,32,46377,46377.0,2105
372824,16,48,62688,62688.0,499
372865,6,15,19260,19260.0,0
372961,2,7,12642,12642.0,551
373044,11,31,48832,48832.0,1398
373118,0,0,0,0.0,0
373144,14,37,54179,54179.0,1371
373204,1,5,5410,5410.0,0
373242,7,21,24026,24026.0,0
373321,0,0,0,0.0,0
373374,12,28,48385,48385.0,0
373429,0,0,0,0.0,0
373501,12,33,56272,56272.0,481
373554,2,7,9527,9527.0,0
373638,6,19,18815,18815.0,0
373665,0,0,0,0.0,0
373737,9,26,40383,40383.0,496
373771,7,41,62776,94164.0,1087
373886,11,25,42516,42516.0,1778
373888,4,14,18726,18726.0,607
373898,15,35,50306,50306.0,0
373950,14,41,64993,64993.0,470
374107,13,36,56499,56499.0,999
374113,0,0,0,0.0,0
374117,15,33,53578,53578.0,1838
374266,19,56,76144,76144.0,0
374275,21,67,109694,109694.0,1394
374293,2,4,2974,2974.0,0
374344,9,22,34566,34566.0,638
374345,17,51,79256,79256.0,1876
374401,13,31,40766,40766.0,524
374421,1,1,1744,1744.0,0
374440,17,45,60760,60760.0,990
374585,16,30,45174,45174.0,1012
374639,17,49,82163,82163.0,303
374679,12,30,53268,53268.0,920
374721,9,23,39597,39597.0,966
374736,11,34,56086,56086.0,504
374850,17,38,56545,56545.0,1029
374881,15,33,50482,50482.0,337
374931,14,31,48498,48498.0,434
374941,9,20,24107,24107.0,0
374967,18,46,63933,63933.0,1688
374984,14,36,35957,35957.0,1384
375056,6,12,17644,17644.0,0
375105,12,35,50065,50065.0,1405
375115,0,0,0,0.0,0
375162,0,0,0,0.0,0
375203,1,2,3444,3444.0,0
375265,11,38,53578,53578.0,954
375297,15,39,55271,55271.0,2033
375371,0,0,0,0.0,0
375399,17,35,66460,66460.0,767
375430,11,33,43745,43745.0,514
375451,4,11,17288,17288.0,373
375467,0,0,0,0.0,0
375511,16,50,75498,75498.0,1436
375540,13,28,42234,42234.0,1951
375597,14,36,56295,56295.0,1029
375683,14,36,46973,46973.0,2226
375694,14,41,66254,66254.0,0
375722,13,36,61524,61524.0,2333
375757,16,44,62430,62430.0,2412
375768,16,45,65890,65890.0,2245
375792,9,18,22176,22176.0,716
375814,11,23,35827,35827.0,517
375890,19,46,72419,72419.0,1718
375909,17,54,79617,79617.0,2335
375987,15,57,73741,73741.0,1034
376072,19,49,69398,69398.0,1158
376144,7,17,32438,32438.0,0
376299,15,39,68195,68195.0,434
376367,4,12,17936,17936.0,0
376424,10,30,45348,45348.0,0
376484,11,34,49688,49688.0,706
376572,10,27,40504,40504.0,459
376618,15,36,43916,43916.0,1001
376630,4,12,15615,15615.0,0
376725,10,26,41723,41723.0,360
376862,17,34,50127,50127.0,3156
376863,15,34,53829,53829.0,487
376929,1,3,5790,8685.0,0
376969,12,30,48995,48995.0,1048
376983,2,3,2489,2489.0,787
377029,11,22,38262,38262.0,560
377050,15,39,52311,52311.0,452
377114,18,59,95536,95536.0,0
377173,13,36,46060,46060.0,525
377247,15,38,60958,60958.0,1134
377288,16,48,69347,69347.0,1209
377289,17,46,68280,68280.0,373
377302,4,16,14543,14543.0,0
377322,18,54,99708,99708.0,2450
377364,0,0,0,0.0,0
377375,7,17,19273,19273.0,0
377444,4,12,22052,22052.0,371
377464,13,34,53843,53843.0,1914
377471,7,60,88841,133261.5,1066
377489,11,20,30265,30265.0,965
377642,0,0,0,0.0,0
377674,15,40,54400,54400.0,700
377724,13,32,44587,44587.0,464
377742,3,36,52152,78228.0,0
377796,0,0,0,0.0,0
377858,0,0,0,0.0,0
377928,3,7,12425,12425.0,0
377968,14,27,39075,39075.0,923
378014,12,38,57203,57203.0,1540
378153,6,30,35604,53406.0,505
378181,13,35,55563,55563.0,446
378267,16,39,72394,72394.0,950
378454,19,47,66145,66145.0,755
378498,0,0,0,0.0,0
378793,13,33,44332,44332.0,845
378827,16,41,55550,55550.0,1593
378857,17,47,69685,69685.0,906
378920,19,51,70389,70389.0,1995
378968,14,38,52973,52973.0,509
379038,3,6,7539,7539.0,475
379041,3,7,11343,11343.0,0
379110,15,43,69902,69902.0,2238
379117,5,13,22750,22750.0,1147
379120,13,36,54355,54355.0,389
379238,13,29,36740,36740.0,569
379281,8,16,26233,26233.0,0
379351,16,35,58397,58397.0,1069
379384,17,48,66336,66336.0,955
379414,6,46,93392,140088.0,814
379446,9,29,42387,42387.0,671
379506,13,34,50405,50405.0,368
379562,14,35,47318,47318.0,1346
379572,15,53,91894,91894.0,893
379629,15,41,62771,62771.0,1398
379716,18,54,93152,93152.0,1589
379752,13,32,46010,46010.0,1750
379836,14,38,49780,49780.0,1815
379962,13,34,65516,65516.0,753
380001,12,38,51205,51205.0,0
380031,17,44,75283,75283.0,1141
380059,13,32,60240,60240.0,1632
380099,13,38,55887,55887.0,1043
380110,16,38,53295,53295.0,0
380183,15,40,61268,61268.0,407
380247,16,33,56857,56857.0,421
380255,15,40,61109,61109.0,0
380262,14,38,46732,46732.0,0
380294,11,32,57284,57284.0,401
380526,12,39,59089,59089.0,1837
380627,15,44,56467,56467.0,0
380709,5,13,19778,19778.0,592
380788,7,15,29810,29810.0,1612
380795,14,36,58373,58373.0,1413
380843,13,32,49166,49166.0,450
380928,14,44,62082,62082.0,1857
380954,2,10,12025,12025.0,425
381065,1,1,1629,1629.0,0
381176,0,0,0,0.0,0
381189,17,52,64339,64339.0,1028
381234,13,40,52164,52164.0,0
381284,13,40,62484,62484.0,1979
381307,8,22,30534,30534.0,435
381308,1,5,9345,9345.0,736
381316,17,42,68560,68560.0,1444
381395,16,51,70329,70329.0,1267
381459,15,46,78014,78014.0,1769
381471,0,0,0,0.0,0
381472,14,38,58751,58751.0,442
381496,12,38,66538,66538.0,563
381539,6,22,29513,29513.0,0
381651,16,48,79615,79615.0,1518
381717,3,10,10814,10814.0,0
381748,16,39,58965,58965.0,873
381786,2,6,10056,10056.0,0
381901,14,35,50625,50625.0,0
382045,0,0,0,0.0,0
382149,16,48,73957,73957.0,1211
382197,5,13,23750,23750.0,461
382243,13,34,57668,57668.0,3055
382252,17,52,71554,71554.0,418
382271,17,40,52367,52367.0,2285
382464,16,40,71016,71016.0,2407
382671,14,31,54226,54226.0,292
382678,0,0,0,0.0,0
382738,14,43,66403,66403.0,956
382739,6,55,103398,155097.0,0
382748,11,39,50768,50768.0,1875
382889,6,43,63575,95362.5,0
382953,15,39,50058,50058.0,0
382971,0,0,0,0.0,0
382980,17,42,54935,54935.0,1030
382983,0,0,0,0.0,0
383108,15,39,50131,50131.0,357
383147,12,37,57429,57429.0,1407
383190,15,34,54030,54030.0,955
383202,16,39,55875,55875.0,0
383367,8,49,47279,70918.5,413
383391,1,3,4497,4497.0,0
383399,9,17,27668,27668.0,0
383421,17,39,67800,67800.0,919
383627,16,41,63157,63157.0,1452
383656,13,24,37567,37567.0,371
383701,8,24,21208,21208.0,477
383787,16,51,74644,74644.0,437
383808,16,40,53550,53550.0,1418
383826,11,26,35798,35798.0,633
383842,10,27,41696,41696.0,0
383891,16,47,74638,74638.0,1241
383898,5,24,41666,62499.0,849
383912,16,41,71006,71006.0,0
383954,8,16,22729,22729.0,0
383962,6,14,32239,32239.0,1019
383969,8,19,27944,27944.0,0
384010,6,54,84656,126984.0,1355
384090,15,49,67498,67498.0,419
384146,4,43,57117,85675.5,0
384269,14,48,60930,60930.0,857
384286,10,27,44636,44636.0,1018
384296,0,0,0,0.0,0
384328,13,28,49853,49853.0,723
384336,14,33,50433,50433.0,2591
384356,4,15,26178,26178.0,0
384409,4,14,23560,23560.0,900
384412,6,65,73640,110460.0,1054
384543,14,47,66437,66437.0,1345
384548,4,7,8529,8529.0,0
384599,14,30,38884,38884.0,730
384602,4,11,10143,10143.0,656
384686,15,40,57207,57207.0,815
384737,0,0,0,0.0,0
384744,20,54,69537,69537.0,407
384750,12,29,50389,50389.0,0
384818,0,0,0,0.0,0
384825,16,41,71693,71693.0,1324
384905,0,0,0,0.0,0
384907,0,0,0,0.0,0
384920,14,30,40150,40150.0,1696
384928,10,26,37689,37689.0,0
384986,14,43,65422,65422.0,972
385092,8,102,154288,231432.0,418
385131,13,37,61419,61419.0,1567
385190,15,43,57946,57946.0,1117
385235,17,50,68869,68869.0,2509
385358,10,25,41928,41928.0,856
385593,14,35,41978,41978.0,0
385638,3,4,7115,7115.0,0
385718,17,43,64897,64897.0,2779
385747,0,0,0,0.0,0
385861,2,4,7469,7469.0,0
385864,18,48,65025,65025.0,1024
385912,11,28,36881,36881.0,0
386037,17,45,68818,68818.0,1706
386082,4,40,36882,55323.0,0
386298,5,17,33706,33706.0,0
386342,15,50,66047,66047.0,896
386363,17,40,58086,58086.0,1098
386446,2,4,3636,3636.0,456
386607,14,35,52300,52300.0,536
386649,11,36,60232,60232.0,1225
386790,13,31,38971,38971.0,1404
386825,13,37,39527,39527.0,0
386926,12,37,53849,53849.0,851
386936,2,6,8578,8578.0,0
386979,7,17,23762,23762.0,422
386986,18,58,93931,93931.0,1646
387121,13,41,46025,46025.0,715
387129,19,61,93072,93072.0,979
387203,0,0,0,0.0,0
387214,7,74,125210,187815.0,0
387307,9,61,67133,100699.5,0
387455,12,29,47375,47375.0,332
387506,18,49,65044,65044.0,961
387523,13,34,49182,49182.0,403
387553,7,19,22267,22267.0,1842
387568,16,44,63269,63269.0,0
387570,14,41,54140,54140.0,1646
387584,16,36,53789,53789.0,1169
387648,16,39,55128,55128.0,533
387650,15,32,51524,51524.0,1233
387695,15,34,46996,46996.0,984
387705,17,45,68743,68743.0,1626
387721,14,36,65694,65694.0,0
387834,15,32,52636,52636.0,1242
387880,18,35,57251,57251.0,1404
387971,16,33,45395,45395.0,1037
388046,12,30,34653,34653.0,551
388140,15,40,52001,52001.0,503
388156,17,50,74037,74037.0,1007
388292,13,36,50184,50184.0,1372
388448,15,44,77181,77181.0,563
388478,5,9,10349,10349.0,917
388624,14,45,84038,84038.0,1594
388639,10,26,37111,37111.0,754
388777,14,40,59487,59487.0,1323
388985,16,45,53048,53048.0,863
389081,0,0,0,0.0,0
389146,13,34,57921,57921.0,457
389225,18,51,79901,79901.0,1171
389387,5,13,10156,10156.0,0
389429,15,37,55898,55898.0,909
389430,0,0,0,0.0,0
389488,12,31,42529,42529.0,406
389551,14,36,51864,51864.0,1923
389565,18,51,61501,61501.0,2994
389583,7,31,44959,67438.5,897
389706,16,42,64815,64815.0,485
389741,8,17,24559,24559.0,829
389804,21,60,96947,96947.0,1038
389812,8,27,45532,45532.0,851
389928,16,46,74344,74344.0,0
389995,11,28,45778,45778.0,1995
389996,7,22,36593,36593.0,0
390022,5,40,53000,79500.0,414
390117,12,34,60777,60777.0,1473
390190,12,35,54269,54269.0,510
390203,12,32,47220,47220.0,1398
390209,15,42,53910,53910.0,909
390297,4,14,24516,24516.0,561
390343,13,36,56761,56761.0,2108
